title,actor,writer,genre,country,director,rating,score,year,release,runtime
Germinal,Renaud,Claude Berri,Drama,France,Claude Berri,R,7.1,1993,3-31-1994,160
La boda de Muriel,Toni Collette,P.J. Hogan,Comedy,Australia,P.J. Hogan,R,7.2,1994,3-31-1995,106
Tank Girl,Lori Petty,Alan Martin,Action,USA,Rachel Talalay,R,5.3,1995,3-31-1995,104
Tommy Boy,Chris Farley,Bonnie Turner,Adventure,USA,Peter Segal,PG-13,7.1,1995,3-31-1995,97
Jefferson in Paris,Nick Nolte,Ruth Prawer Jhabvala,Biography,USA,James Ivory,PG-13,5.7,1995,3-31-1995,139
Funny Bones,Jerry Lewis,Peter Chelsom,Comedy,UK,Peter Chelsom,R,7,1995,3-31-1995,128
Born to Be Wild,Wil Horneff,Paul Young,Adventure,USA,John Gray,PG,5.1,1995,3-31-1995,100
The Matrix,Keanu Reeves,Lilly Wachowski,Action,USA,Lana Wachowski,R,8.7,1999,3-31-1999,136
10 Things I Hate About You,Heath Ledger,Karen McCullah,Comedy,USA,Gil Junger,PG-13,7.2,1999,3-31-1999,97
The Girl on the Bridge,Vanessa Paradis,Serge Frydman,Comedy,France,Patrice Leconte,R,7.6,1999,3-31-1999,90
Boys Don't Cry,Hilary Swank,Kimberly Peirce,Biography,USA,Kimberly Peirce,R,7.6,1999,3-31-2000,118
All About My Mother,Cecilia Roth,Pedro Almodóvar,Drama,Spain,Pedro Almodóvar,R,7.9,1999,3-31-2000,101
The Road to El Dorado,Kevin Kline,Terry Rossio,Animation,USA,Bibo Bergeron,PG,6.9,2000,3-31-2000,89
High Fidelity,John Cusack,Nick Hornby,Comedy,UK,Stephen Frears,R,7.5,2000,3-31-2000,113
The Skulls,Joshua Jackson,John Pogue,Action,USA,Rob Cohen,PG-13,5.6,2000,3-31-2000,106
Love's Labour's Lost,Alessandro Nivola,William Shakespeare,Romance,UK,Kenneth Branagh,PG,6.1,2000,3-31-2000,93
Tsotsi,Presley Chweneyagae,Gavin Hood,Crime,UK,Gavin Hood,R,7.3,2005,3-31-2006,94
Basic Instinct 2,Sharon Stone,Leora Barish,Drama,UK,Michael Caton-Jones,R,4.2,2006,3-31-2006,114
Criaturas rastreras,Nathan Fillion,James Gunn,Comedy,Canada,James Gunn,R,6.5,2006,3-31-2006,95
Ice Age: The Meltdown,Ray Romano,Peter Gaulke,Animation,USA,Carlos Saldanha,PG,6.9,2006,3-31-2006,91
ATL,T.I.,Tina Gordon Chism,Comedy,USA,Chris Robinson,PG-13,6,2006,3-31-2006,105
Valhalla Rising,Mads Mikkelsen,Nicolas Winding Refn,Adventure,Denmark,Nicolas Winding Refn,NOT RATED,6,2009,3-31-2010,93
The Last Song,Miley Cyrus,Nicholas Sparks,Drama,USA,Julie Anne Robinson,PG,5.9,2010,3-31-2010,100
Hunt for the Wilderpeople,Sam Neill,Taika Waititi,Adventure,New Zealand,Taika Waititi,PG-13,7.9,2016,3-31-2016,101
The Gods Must Be Crazy II,N!xau,Jamie Uys,Comedy,South Africa,Jamie Uys,PG,6.8,1989,4-13-1990,98
Crazy People,Dudley Moore,Mitch Markowitz,Comedy,USA,Tony Bill,R,5.9,1990,4-13-1990,90
Vital Signs,Adrian Pasdar,Larry Ketron,Drama,USA,Marisa Silver,R,5.4,1990,4-13-1990,100
Naked in New York,Eric Stoltz,Daniel Algrant,Comedy,USA,Daniel Algrant,R,5.7,1993,4-13-1994,95
Serial Mom,Kathleen Turner,John Waters,Comedy,USA,John Waters,R,6.7,1994,4-13-1994,95
Amores Perros,Emilio Echevarría,Guillermo Arriaga,Drama,Mexico,Alejandro González Iñárritu,R,8.1,2000,4-13-2001,154
Bridget Jones's Diary,Renée Zellweger,Helen Fielding,Comedy,UK,Sharon Maguire,R,6.7,2001,4-13-2001,97
Disturbia,Shia LaBeouf,Christopher Landon,Drama,USA,D.J. Caruso,PG-13,6.9,2007,4-13-2007,105
Perfect Stranger,Halle Berry,Todd Komarnicki,Crime,USA,James Foley,R,5.7,2007,4-13-2007,109
Pathfinder,Karl Urban,Laeta Kalogridis,Action,USA,Marcus Nispel,R,5.4,2007,4-13-2007,99
Redline,Nathan Phillips,Robert Foreman,Action,USA,Andy Cheng,PG-13,4,2007,4-13-2007,100
The Raid: Redemption,Iko Uwais,Gareth Evans,Action,Indonesia,Gareth Evans,R,7.6,2011,4-13-2012,101
The Cabin in the Woods,Kristen Connolly,Joss Whedon,Horror,USA,Drew Goddard,R,7,2012,4-13-2012,95
Lockout,Guy Pearce,Stephen St. Leger,Action,France,James Mather,PG-13,6.1,2012,4-13-2012,95
The Three Stooges,Sean Hayes,Mike Cerrone,Comedy,USA,Bobby Farrelly,PG,5.1,2012,4-13-2012,92
[REC] 3: Genesis,Leticia Dolera,Luiso Berdejo,Horror,Spain,Paco Plaza,R,5,2012,4-13-2012,80
Voraz,Garance Marillier,Julia Ducournau,Drama,France,Julia Ducournau,R,7,2016,4-13-2017,99
The Rosary Murders,Donald Sutherland,William X. Kienzle,Crime,USA,Fred Walton,R,5.7,1987,4-14-1988,105
Say Anything...,John Cusack,Cameron Crowe,Comedy,USA,Cameron Crowe,PG-13,7.4,1989,4-14-1989,100
She's Out of Control,Tony Danza,Seth Winston,Comedy,USA,Stan Dragoti,PG,5.3,1989,4-14-1989,90
Winter People,Kurt Russell,John Ehle,Drama,USA,Ted Kotcheff,PG-13,6.3,1989,4-14-1989,110
Disorganized Crime,Hoyt Axton,Jim Kouf,Action,USA,Jim Kouf,R,6.3,1989,4-14-1989,98
Edge of Sanity,Anthony Perkins,J.P. Félix,Horror,UK,Gérard Kikoïne,R,5.3,1989,4-14-1989,85
Rob Roy,Liam Neeson,Alan Sharp,Adventure,USA,Michael Caton-Jones,R,6.9,1995,4-14-1995,139
Bliss,Craig Sheffer,Lance Young,Drama,Canada,Lance Young,R,6.1,1997,4-14-1997,103
Romance,Caroline Ducey,Catherine Breillat,Drama,France,Catherine Breillat,R,5.3,1999,4-14-1999,84
American Psycho,Christian Bale,Bret Easton Ellis,Crime,USA,Mary Harron,R,7.6,2000,4-14-2000,102
Keeping the Faith,Ben Stiller,Stuart Blumberg,Comedy,USA,Edward Norton,PG-13,6.4,2000,4-14-2000,128
28 Days,Sandra Bullock,Susannah Grant,Comedy,USA,Betty Thomas,PG-13,6,2000,4-14-2000,103
El asalto,Paul Newman,E. Max Frye,Drama,Germany,Marek Kanievska,PG-13,6.3,2000,4-14-2000,89
Brick,Joseph Gordon-Levitt,Rian Johnson,Action,USA,Rian Johnson,R,7.4,2005,4-14-2006,110
Thank You for Smoking,Aaron Eckhart,Jason Reitman,Comedy,USA,Jason Reitman,R,7.6,2005,4-14-2006,92
Scary Movie 4,Anna Faris,Craig Mazin,Comedy,USA,David Zucker,PG-13,5.1,2006,4-14-2006,83
Vida salvaje,Kiefer Sutherland,Ed Decter,Animation,Canada,Steve 'Spaz' Williams,G,5.3,2006,4-14-2006,100
Norman,Richard Gere,Joseph Cedar,Drama,Israel,Joseph Cedar,R,6.3,2016,4-14-2017,118
The Last Emperor,John Lone,Mark Peploe,Biography,UK,Bernardo Bertolucci,PG-13,7.8,1987,4-15-1988,163
Return to Snowy River,Tom Burlinson,Geoff Burrowes,Adventure,Australia,Geoff Burrowes,PG,6.6,1988,4-15-1988,110
Brenda Starr,Brooke Shields,Noreen Stone,Adventure,USA,Robert Ellis Miller,PG,4.6,1989,4-15-1992,93
Deep Cover,Laurence Fishburne,Michael Tolkin,Action,USA,Bill Duke,R,6.9,1992,4-15-1992,107
Four Weddings and a Funeral,Hugh Grant,Richard Curtis,Comedy,UK,Mike Newell,R,7.1,1994,4-15-1994,117
Surviving the Game,Rutger Hauer,Eric Bernt,Action,USA,Ernest R. Dickerson,R,6.1,1994,4-15-1994,96
Backbeat,Stephen Dorff,Iain Softley,Biography,UK,Iain Softley,R,6.7,1994,4-15-1994,100
Cops and Robbersons,Chevy Chase,Bernie Somers,Comedy,USA,Michael Ritchie,PG,5,1994,4-15-1994,93
White Fang 2: Myth of the White Wolf,Scott Bairstow,David Fallon,Adventure,USA,Ken Olin,PG,5.4,1994,4-15-1994,100
The Dinner Game,Thierry Lhermitte,Francis Veber,Comedy,France,Francis Veber,PG-13,7.7,1998,4-15-1998,80
Dear Frankie,Emily Mortimer,Andrea Gibb,Drama,UK,Shona Auerbach,PG-13,7.8,2004,4-15-2005,105
The Amityville Horror,Ryan Reynolds,Scott Kosar,Drama,USA,Andrew Douglas,R,6,2005,4-15-2005,90
Adam's Apples,Ulrich Thomsen,Anders Thomas Jensen,Comedy,Denmark,Anders Thomas Jensen,R,7.8,2005,4-15-2005,94
The Conspirator,Robin Wright,James D. Solomon,Crime,USA,Robert Redford,PG-13,6.9,2010,4-15-2011,122
Meek's Cutoff,Michelle Williams,Jonathan Raymond,Drama,USA,Kelly Reichardt,PG,6.6,2010,4-15-2011,104
Scream 4,Neve Campbell,Kevin Williamson,Horror,USA,Wes Craven,R,6.2,2011,4-15-2011,111
Rio,Jesse Eisenberg,Carlos Saldanha,Animation,USA,Carlos Saldanha,G,6.9,2011,4-15-2011,96
Atlas Shrugged: Part I,Taylor Schilling,Brian Patrick O'Toole,Drama,USA,Paul Johansson,PG-13,5.7,2011,4-15-2011,97
Desierto,Gael García Bernal,Jonás Cuarón,Drama,Mexico,Jonás Cuarón,R,6,2015,4-15-2016,88
The Jungle Book,Neel Sethi,Justin Marks,Adventure,UK,Jon Favreau,PG,7.5,2016,4-15-2016,106
Criminal,Kevin Costner,Douglas Cook,Action,USA,Ariel Vromen,R,6.3,2016,4-15-2016,113
The Story of Qiu Ju,Li Gong,Yuan Bin Chen,Comedy,China,Yimou Zhang,PG,7.6,1992,4-16-1993,101
No Place to Hide,Kris Kristofferson,Richard Danus,Thriller,USA,Richard Danus,R,5.6,1992,4-16-1993,100
Wide Sargasso Sea,Karina Lombard,Jan Sharp,Drama,Australia,John Duigan,NC-17,5.8,1993,4-16-1993,98
Boiling Point,Wesley Snipes,Gerald Petievich,Action,USA,James B. Harris,R,4.9,1993,4-16-1993,92
SLC Punk!,Matthew Lillard,James Merendino,Comedy,USA,James Merendino,R,7.5,1998,4-16-1999,97
Goodbye Lover,Patricia Arquette,Ron Peer,Comedy,USA,Roland Joffé,R,5.7,1998,4-16-1999,102
Life,Eddie Murphy,Robert Ramsey,Comedy,USA,Ted Demme,R,6.7,1999,4-16-1999,108
Cookie's Fortune,Glenn Close,Anne Rapp,Comedy,USA,Robert Altman,PG-13,6.9,1999,4-16-1999,118
Friends & Lovers,Stephen Baldwin,Neill Barry,Drama,USA,George Haas,R,4.5,1999,4-16-1999,100
Chasing Papi,Eduardo Verástegui,Laura Angelica Simon,Comedy,USA,Linda Mendoza,PG,4.8,2003,4-16-2003,80
Bulletproof Monk,Yun-Fat Chow,Ethan Reiff,Action,USA,Paul Hunter,PG-13,5.5,2003,4-16-2003,104
Intermission,Cillian Murphy,Mark O'Rowe,Comedy,Ireland,John Crowley,R,6.9,2003,4-16-2004,105
Kill Bill: Vol. 2,Uma Thurman,Quentin Tarantino,Action,USA,Quentin Tarantino,R,8,2004,4-16-2004,137
The Punisher,Thomas Jane,Jonathan Hensleigh,Action,USA,Jonathan Hensleigh,R,6.5,2004,4-16-2004,124
Connie and Carla,Nia Vardalos,Nia Vardalos,Comedy,USA,Michael Lembeck,PG-13,6.3,2004,4-16-2004,108
Shelter,Trevor Wright,Jonah Markowitz,Drama,USA,Jonah Markowitz,R,7.8,2007,4-16-2009,97
Kick-Ass,Aaron Taylor-Johnson,Jane Goldman,Action,UK,Matthew Vaughn,R,7.7,2010,4-16-2010,117
Death at a Funeral,Chris Rock,Dean Craig,Comedy,USA,Neil LaBute,R,5.7,2010,4-16-2010,92
Heaven Is for Real,Greg Kinnear,Randall Wallace,Biography,USA,Randall Wallace,PG,5.8,2014,4-16-2014,99
Slow West,Kodi Smit-McPhee,John Maclean,Western,UK,John Maclean,R,6.9,2015,4-16-2015,84
Raising Arizona,Nicolas Cage,Ethan Coen,Comedy,USA,Joel Coen,PG-13,7.4,1987,4-17-1987,94
Project X,Matthew Broderick,Lawrence Lasker,Comedy,USA,Jonathan Kaplan,PG,6.1,1987,4-17-1987,108
Walk Like a Man,Christopher Lloyd,Robert Klane,Comedy,USA,Melvin Frank,PG,4.6,1987,4-17-1987,86
Cabeza de Vaca,Juan Diego,Nicolás Echevarría,Adventure,Mexico,Nicolás Echevarría,R,7,1991,4-17-1992,100
City of Joy,Patrick Swayze,Dominique Lapierre,Drama,France,Roland Joffé,PG-13,6.4,1992,4-17-1992,132
The Babe,John Goodman,John Fusco,Biography,USA,Arthur Hiller,PG,5.9,1992,4-17-1992,100
Brain Donors,John Turturro,Pat Proft,Comedy,USA,Dennis Dugan,PG,7.1,1992,4-17-1992,100
Nightwatch,Ewan McGregor,Ole Bornedal,Drama,USA,Ole Bornedal,R,6.2,1997,4-17-1998,101
Suicide Kings,Christopher Walken,Josh McKinney,Comedy,USA,Peter O'Fallon,R,7,1997,4-17-1998,106
Sour Grapes,Steven Weber,Larry David,Comedy,USA,Larry David,R,5.7,1998,4-17-1998,91
The Object of My Affection,Jennifer Aniston,Stephen McCauley,Comedy,USA,Nicholas Hytner,R,6,1998,4-17-1998,111
Major League: Back to the Minors,Scott Bakula,David S. Ward,Comedy,USA,John Warren,PG-13,4.5,1998,4-17-1998,100
Paulie,Gena Rowlands,Laurie Craig,Adventure,USA,John Roberts,PG,6.5,1998,4-17-1998,91
Homegrown,Billy Bob Thornton,Jonah Raskin,Comedy,USA,Stephen Gyllenhaal,R,5.8,1998,4-17-1998,102
After Life,Arata Iura,Hirokazu Koreeda,Drama,Japan,Hirokazu Koreeda,Not specified,7.7,1998,4-17-1999,100
Coming Soon,Bonnie Root,Colette Burson,Comedy,USA,Colette Burson,R,4.4,1999,4-17-1999,96
Sunshine Cleaning,Amy Adams,Megan Holley,Comedy,USA,Christine Jeffs,R,6.9,2008,4-17-2009,91
17 Again,Zac Efron,Jason Filardi,Comedy,USA,Burr Steers,PG-13,6.4,2009,4-17-2009,102
Crank: High Voltage,Jason Statham,Mark Neveldine,Action,USA,Mark Neveldine,R,6.2,2009,4-17-2009,96
State of Play,Russell Crowe,Matthew Michael Carnahan,Drama,USA,Kevin Macdonald,PG-13,7.1,2009,4-17-2009,127
Sin Nombre,Paulina Gaitan,Cary Fukunaga,Adventure,Mexico,Cary Fukunaga,R,7.6,2009,4-17-2009,96
Sólo los amantes sobreviven,Tilda Swinton,Jim Jarmusch,Comedy,Germany,Jim Jarmusch,R,7.3,2013,4-17-2015,123
Tal vez es para siempre,Lily Collins,Juliette Towhidi,Comedy,Germany,Christian Ditter,R,7.2,2014,4-17-2015,102
Unfriended,Heather Sossaman,Nelson Greaves,Drama,USA,Levan Gabriadze,R,5.6,2014,4-17-2015,83
While We're Young,Ben Stiller,Noah Baumbach,Comedy,USA,Noah Baumbach,R,6.3,2014,4-17-2015,97
True Story,James Franco,Rupert Goold,Crime,USA,Rupert Goold,R,6.3,2015,4-17-2015,99
Paul Blart: Mall Cop 2,Kevin James,Kevin James,Action,USA,Andy Fickman,PG,4.4,2015,4-17-2015,94
At Close Range,Sean Penn,Elliott Lewitt,Crime,USA,James Foley,R,7,1986,4-18-1986,111
Wise Guys,Danny DeVito,George Gallo,Comedy,USA,Brian De Palma,R,5.6,1986,4-18-1986,100
Murphy's Law,Charles Bronson,Gail Morgan Hickman,Action,USA,J. Lee Thompson,R,5.9,1986,4-18-1986,100
Absolute Beginners,Patsy Kensit,Colin MacInnes,Drama,UK,Julien Temple,PG-13,5.6,1986,4-18-1986,108
Desert Bloom,Jon Voight,Linda Remy,Drama,USA,Eugene Corr,PG,6.6,1986,4-18-1986,105
Chasing Amy,Ben Affleck,Kevin Smith,Comedy,USA,Kevin Smith,R,7.3,1997,4-18-1997,113
Murder at 1600,Wesley Snipes,Wayne Beach,Action,USA,Dwight H. Little,R,6.1,1997,4-18-1997,107
8 Heads in a Duffel Bag,Joe Pesci,Tom Schulman,Comedy,USA,Tom Schulman,R,5.3,1997,4-18-1997,95
McHale's Navy,Tom Arnold,Peter Crabbe,Action,USA,Bryan Spicer,PG,4.4,1997,4-18-1997,108
Holes,Shia LaBeouf,Louis Sachar,Adventure,USA,Andrew Davis,PG,7.1,2003,4-18-2003,117
Malibu's Most Wanted,Jamie Kennedy,Fax Bahr,Comedy,USA,John Whitesell,PG-13,5.1,2003,4-18-2003,100
Cashback,Sean Biggerstaff,Sean Ellis,Comedy,UK,Sean Ellis,R,7.2,2006,4-18-2008,102
88 Minutes,Al Pacino,Gary Scott Thompson,Crime,USA,Jon Avnet,R,5.9,2007,4-18-2008,108
Crimen sin perdón,Kevin Kline,Jose Rivera,Crime,Germany,Marco Kreuzpaintner,R,7.4,2007,4-18-2008,120
"4 Months, 3 Weeks and 2 Days",Anamaria Marinca,Cristian Mungiu,Drama,Romania,Cristian Mungiu,NOT RATED,7.9,2007,4-18-2008,113
The Counterfeiters,Karl Markovics,Adolf Burger,Crime,Austria,Stefan Ruzowitzky,R,7.6,2007,4-18-2008,98
Forgetting Sarah Marshall,Kristen Bell,Jason Segel,Comedy,USA,Nicholas Stoller,R,7.2,2008,4-18-2008,111
The Forbidden Kingdom,Jackie Chan,John Fusco,Action,USA,Rob Minkoff,PG-13,6.6,2008,4-18-2008,104
The Lords of Salem,Sheri Moon Zombie,Rob Zombie,Horror,USA,Rob Zombie,R,5.1,2012,4-18-2013,101
Locke,Tom Hardy,Steven Knight,Drama,UK,Steven Knight,R,7.1,2013,4-18-2014,85
Transcendence,Johnny Depp,Jack Paglen,Drama,UK,Wally Pfister,PG-13,6.3,2014,4-18-2014,119
Kid Cannabis,Jonathan Daniel Brown,John Stockwell,Biography,USA,John Stockwell,NOT RATED,6.4,2014,4-18-2014,110
A Haunted House 2,Marlon Wayans,Marlon Wayans,Comedy,USA,Michael Tiddes,R,4.7,2014,4-18-2014,86
Mortal Thoughts,Demi Moore,William Reilly,Mystery,USA,Alan Rudolph,R,5.7,1991,4-19-1991,102
New Jersey Drive,Shar-Ron Corley,Nick Gomez,Crime,USA,Nick Gomez,R,6.7,1995,4-19-1995,98
For the Moment,Russell Crowe,Aaron Kim Johnston,Romance,Canada,Aaron Kim Johnston,PG-13,6.3,1993,4-19-1996,100
The Monster,Roberto Benigni,Vincenzo Cerami,Comedy,Italy,Roberto Benigni,R,7.5,1994,4-19-1996,112
The Substitute,Tom Berenger,Roy Frumkes,Action,USA,Robert Mandel,R,5.9,1996,4-19-1996,114
Mrs. Winterbourne,Shirley MacLaine,Cornell Woolrich,Comedy,USA,Richard Benjamin,PG-13,6.2,1996,4-19-1996,105
Kids in the Hall: Brain Candy,Dave Foley,Norm Hiscock,Comedy,Canada,Kelly Makin,R,6.9,1996,4-19-1996,89
Celtic Pride,Damon Wayans,Judd Apatow,Comedy,USA,Tom DeCerchio,PG-13,5.2,1996,4-19-1996,91
The Scorpion King,Dwayne Johnson,Stephen Sommers,Action,USA,Chuck Russell,PG-13,5.5,2002,4-19-2002,92
Murder by Numbers,Sandra Bullock,Tony Gayton,Crime,USA,Barbet Schroeder,R,6.1,2002,4-19-2002,115
Bloody Sunday,James Nesbitt,Paul Greengrass,Drama,UK,Paul Greengrass,R,7.7,2002,4-19-2002,107
Russian Ark,Sergey Dreyden,Boris Khaimsky,Drama,Russia,Aleksandr Sokurov,NOT RATED,7.4,2002,4-19-2003,99
The Place Beyond the Pines,Ryan Gosling,Derek Cianfrance,Crime,USA,Derek Cianfrance,R,7.3,2012,4-19-2013,140
Being Flynn,Paul Dano,Paul Weitz,Drama,USA,Paul Weitz,R,6.4,2012,4-19-2013,100
Oblivion,Tom Cruise,Karl Gajdusek,Action,USA,Joseph Kosinski,PG-13,7,2013,4-19-2013,124
Chattahoochee,Gary Oldman,James Cresson,Biography,USA,Mick Jackson,R,6.4,1989,4-20-1990,94
Martians Go Home,Randy Quaid,Fredric Brown,Comedy,USA,David Odell,PG-13,2.8,1989,4-20-1990,89
Miami Blues,Fred Ward,Charles Willeford,Comedy,USA,George Armitage,R,6.4,1990,4-20-1990,97
Edge of Seventeen,Chris Stafford,Todd Stephens,Comedy,USA,David Moreton,NOT RATED,6.8,1998,4-20-2000,99
Train of Life,Lionel Abelanski,Radu Mihaileanu,Comedy,France,Radu Mihaileanu,R,7.7,1998,4-20-2001,103
Cocodrilo Dundee en Hollywood,Paul Hogan,Paul Hogan,Adventure,Australia,Simon Wincer,PG,4.8,2001,4-20-2001,92
Freddy Got Fingered,Tom Green,Tom Green,Comedy,USA,Tom Green,R,4.5,2001,4-20-2001,87
Hot Fuzz,Simon Pegg,Edgar Wright,Action,UK,Edgar Wright,R,7.9,2007,4-20-2007,121
Fracture,Anthony Hopkins,Daniel Pyne,Crime,USA,Gregory Hoblit,R,7.2,2007,4-20-2007,113
Vacancy,Kate Beckinsale,Mark L. Smith,Horror,USA,Nimród Antal,R,6.2,2007,4-20-2007,85
In the Land of Women,Adam Brody,Jon Kasdan,Comedy,USA,Jon Kasdan,PG-13,6.5,2007,4-20-2007,97
A Separation,Payman Maadi,Asghar Farhadi,Drama,Iran,Asghar Farhadi,PG-13,8.4,2011,4-20-2012,123
¿Sabes quién viene?,Jodie Foster,Yasmina Reza,Comedy,France,Roman Polanski,R,7.2,2011,4-20-2012,80
The Innkeepers,Sara Paxton,Ti West,Horror,USA,Ti West,R,5.5,2011,4-20-2012,101
Aislados,Lauren German,Karl Mueller,Drama,Germany,Xavier Gens,R,5.8,2011,4-20-2012,112
Intruders,Clive Owen,Nicolás Casariego,Fantasy,USA,Juan Carlos Fresnadillo,R,5.4,2011,4-20-2012,100
The Lucky One,Zac Efron,Will Fetters,Drama,USA,Scott Hicks,PG-13,6.5,2012,4-20-2012,101
Think Like a Man,Chris Brown,Keith Merryman,Comedy,USA,Tim Story,PG-13,6.6,2012,4-20-2012,100
The Samaritan,Samuel L. Jackson,Elan Mastai,Crime,Canada,David Weaver,R,5.6,2012,4-20-2012,90
Escorpion rojo,Dolph Lundgren,Robert Abramoff,Action,South Africa,Joseph Zito,R,5,1988,4-21-1989,105
Pet Sematary,Dale Midkiff,Stephen King,Horror,USA,Mary Lambert,R,6.6,1989,4-21-1989,103
Cannonball Fever,Peter Boyle,Michael Short,Comedy,Canada,Jim Drake,PG,4.3,1989,4-21-1989,94
See You in the Morning,Jeff Bridges,Alan J. Pakula,Drama,USA,Alan J. Pakula,PG-13,5.8,1989,4-21-1989,119
Swimming with Sharks,Kevin Spacey,George Huang,Comedy,USA,George Huang,R,7.1,1994,4-21-1995,93
Burnt by the Sun,Nikita Mikhalkov,Rustam Ibragimbekov,Drama,Russia,Nikita Mikhalkov,R,8,1994,4-21-1995,135
The Basketball Diaries,Leonardo DiCaprio,Jim Carroll,Biography,USA,Scott Kalvert,R,7.3,1995,4-21-1995,102
While You Were Sleeping,Sandra Bullock,Daniel G. Sullivan,Comedy,USA,Jon Turteltaub,PG,6.7,1995,4-21-1995,103
Kiss of Death,David Caruso,Eleazar Lipsky,Action,USA,Barbet Schroeder,R,5.9,1995,4-21-1995,101
The Cure,Joseph Mazzello,Robert Kuhn,Drama,USA,Peter Horton,PG-13,7.7,1995,4-21-1995,97
Best Laid Plans,Alessandro Nivola,Ted Griffin,Crime,USA,Mike Barker,R,6.2,1999,4-21-2000,92
U-571: La batalla del Atlántico,Matthew McConaughey,Jonathan Mostow,Action,France,Jonathan Mostow,PG-13,6.6,2000,4-21-2000,116
Love & Basketball,Sanaa Lathan,Gina Prince-Bythewood,Drama,USA,Gina Prince-Bythewood,PG-13,7.2,2000,4-21-2000,124
Gossip,James Marsden,Gregory Poirier,Drama,USA,Davis Guggenheim,R,5.9,2000,4-21-2000,90
Man-Thing,Jack Thompson,Steve Gerber,Action,USA,Brett Leonard,R,4,2005,4-21-2005,105
La mujer de mi hermano,Bárbara Mori,María Eugenia Argomedo,Drama,Argentina,Ricardo de Montreuil,R,6.2,2005,4-21-2006,100
Terror en Silent Hill,Radha Mitchell,Roger Avary,Adventure,Canada,Christophe Gans,R,6.6,2006,4-21-2006,125
The Sentinel,Michael Douglas,George Nolfi,Action,USA,Clark Johnson,PG-13,6.1,2006,4-21-2006,108
Friends with Money,Jennifer Aniston,Nicole Holofcener,Comedy,USA,Nicole Holofcener,R,5.8,2006,4-21-2006,88
American Dreamz,Hugh Grant,Paul Weitz,Comedy,USA,Paul Weitz,PG-13,5.5,2006,4-21-2006,107
Midnight Special,Michael Shannon,Jeff Nichols,Drama,USA,Jeff Nichols,PG-13,6.7,2016,4-21-2016,112
The Lost City of Z,Charlie Hunnam,James Gray,Adventure,USA,James Gray,PG-13,6.6,2016,4-21-2017,141
Free Fire,Sharlto Copley,Amy Jump,Action,UK,Ben Wheatley,R,6.5,2016,4-21-2017,91
Bagdad Cafe,Marianne Sägebrecht,Eleonore Adlon,Comedy,West Germany,Percy Adlon,PG,7.5,1987,4-22-1988,95
World Gone Wild,Bruce Dern,Jorge Zamacona,Action,USA,Lee H. Katzin,R,5.2,1987,4-22-1988,100
Above the Law,Steven Seagal,Andrew Davis,Action,USA,Andrew Davis,R,6,1988,4-22-1988,99
Lady in White,Lukas Haas,Frank LaLoggia,Fantasy,USA,Frank LaLoggia,PG-13,6.7,1988,4-22-1988,113
Casual Sex?,Lea Thompson,Wendy Goldman,Comedy,USA,Geneviève Robert,R,4.9,1988,4-22-1988,97
Permanent Record,Alan Boyce,Jarre Fees,Drama,USA,Marisa Silver,PG-13,6.4,1988,4-22-1988,91
The Unholy,Ben Cross,Philip Yordan,Horror,USA,Camilo Vila,R,4.9,1988,4-22-1988,102
The Playboys,Albert Finney,Shane Connaughton,Drama,USA,Gillies MacKinnon,PG-13,6.4,1992,4-22-1992,117
Bad Girls,Madeleine Stowe,Albert S. Ruddy,Romance,USA,Jonathan Kaplan,R,5.1,1994,4-22-1994,99
Chasers,Tom Berenger,Joe Batteer,Comedy,USA,Dennis Hopper,R,5,1994,4-22-1994,102
Brainscan,Edward Furlong,Brian Owens,Comedy,Canada,John Flynn,R,6.1,1994,4-22-1994,96
The Isle,Jung Suh,Ki-duk Kim,Drama,South Korea,Ki-duk Kim,UNRATED,7.1,2000,4-22-2000,90
Kung Fu Hustle,Stephen Chow,Stephen Chow,Action,Hong Kong,Stephen Chow,R,7.8,2004,4-22-2005,99
A Lot Like Love,Ashton Kutcher,Colin Patrick Lynch,Comedy,USA,Nigel Cole,PG-13,6.6,2005,4-22-2005,107
The Interpreter,Nicole Kidman,Martin Stellman,Crime,UK,Sydney Pollack,PG-13,6.4,2005,4-22-2005,128
Beyond the Black Rainbow,Eva Bourne,Panos Cosmatos,Sci-Fi,Canada,Panos Cosmatos,R,6,2010,4-22-2011,110
Jane Eyre,Mia Wasikowska,Charlotte Brontë,Drama,UK,Cary Fukunaga,PG-13,7.4,2011,4-22-2011,120
Water for Elephants,Robert Pattinson,Richard LaGravenese,Drama,USA,Francis Lawrence,PG-13,6.9,2011,4-22-2011,100
Tale of Tales,Salma Hayek,Giambattista Basile,Drama,Italy,Matteo Garrone,R,6.4,2015,4-22-2016,134
The Huntsman: Winter's War,Chris Hemsworth,Evan Spiliotopoulos,Action,USA,Cedric Nicolas-Troyan,PG-13,6.1,2016,4-22-2016,114
This Boy's Life,Robert De Niro,Tobias Wolff,Biography,USA,Michael Caton-Jones,R,7.3,1993,4-23-1993,115
Benny & Joon,Johnny Depp,Barry Berman,Comedy,USA,Jeremiah S. Chechik,PG,7.2,1993,4-23-1993,98
The Dark Half,Timothy Hutton,Stephen King,Horror,USA,George A. Romero,R,5.9,1993,4-23-1993,122
Indian Summer,Alan Arkin,Mike Binder,Comedy,Canada,Mike Binder,PG-13,6.5,1993,4-23-1993,97
