title,actor,writer,genre,country,director,rating,score,year,release,runtime
"Silent Night, Deadly Night 2",Eric Freeman,Michael Hickey,Horror,USA,Lee Harry,R,3.5,1987,10-4-1987,88
The Believers,Martin Sheen,Mark Frost,Crime,USA,John Schlesinger,R,6.1,1987,10-6-1987,114
The Whistle Blower,Michael Caine,Julian Bond,Thriller,UK,Simon Langton,PG,6.2,1986,10-7-1987,100
Full Metal Jacket,Matthew Modine,Gustav Hasford,Drama,UK,Stanley Kubrick,R,8.3,1987,10-7-1987,116
Revenge of the Nerds II: Nerds in Paradise,Robert Carradine,Tim Metcalfe,Comedy,USA,Joe Roth,PG-13,4.9,1987,10-7-1987,88
White Water Summer,Kevin Bacon,Manya Starr,Adventure,USA,Jeff Bleckner,PG,6.2,1987,10-7-1987,90
The Squeeze,Michael Keaton,Daniel Taplitz,Action,USA,Roger Young,PG-13,4.6,1987,10-7-1987,101
Castaway,Oliver Reed,Lucy Irvine,Adventure,UK,Nicolas Roeg,R,6,1986,11-9-1987,117
The Curse,Wil Wheaton,David Chaskin,Sci-Fi,USA,David Keith,R,4.9,1987,11-9-1987,92
A Prayer for the Dying,Mickey Rourke,Jack Higgins,Action,UK,Mike Hodges,R,6.4,1987,11-9-1987,107
Siesta,Ellen Barkin,Patrice Chaplin,Drama,USA,Mary Lambert,R,5.6,1987,11-11-1987,100
Wall Street,Charlie Sheen,Stanley Weiser,Crime,USA,Oliver Stone,R,7.4,1987,11-12-1987,126
Throw Momma from the Train,Danny DeVito,Stu Silver,Comedy,USA,Danny DeVito,PG-13,6.2,1987,11-12-1987,88
Nuts,Barbra Streisand,Tom Topor,Drama,USA,Martin Ritt,R,6.7,1987,11-12-1987,116
Predator,Arnold Schwarzenegger,Jim Thomas,Action,USA,John McTiernan,R,7.8,1987,12-6-1987,107
The Witches of Eastwick,Jack Nicholson,John Updike,Comedy,USA,George Miller,R,6.5,1987,12-6-1987,118
Luces de una gran ciudad,Michael J. Fox,Jay McInerney,Drama,Japan,James Bridges,R,5.6,1988,1-4-1988,107
The Seventh Sign,Demi Moore,Clifford Green,Drama,USA,Carl Schultz,R,5.9,1988,1-4-1988,97
Gandahar,Glenn Close,René Laloux,Animation,France,René Laloux,PG,7.1,1988,2-3-1988,78
Eight Men Out,John Cusack,Eliot Asinof,Drama,USA,John Sayles,PG,7.3,1988,2-9-1988,119
Rocket Gibraltar,Burt Lancaster,Amos Poe,Drama,USA,Daniel Petrie,PG,6.6,1988,2-9-1988,99
The Deceivers,Pierce Brosnan,John Masters,Adventure,UK,Nicholas Meyer,PG-13,6.1,1988,2-9-1988,102
The Naked Gun: From the Files of Police Squad!,Leslie Nielsen,Jerry Zucker,Comedy,USA,David Zucker,PG-13,7.6,1988,2-12-1988,85
Tequila Sunrise,Mel Gibson,Robert Towne,Crime,USA,Robert Towne,R,6,1988,2-12-1988,115
Al borde del terror,Corey Haim,Dean R. Koontz,Action,Canada,Jon Hess,R,5.3,1988,2-12-1988,91
Big,Tom Hanks,Gary Ross,Comedy,USA,Penny Marshall,PG,7.3,1988,3-6-1988,104
Funny Farm,Chevy Chase,Jay Cronley,Comedy,USA,George Roy Hill,PG,6.1,1988,3-6-1988,101
Babette's Feast,Stéphane Audran,Karen Blixen,Comedy,Denmark,Gabriel Axel,G,7.8,1987,4-3-1988,102
Pulse,Cliff De Young,Paul Golding,Horror,USA,Paul Golding,PG-13,5.5,1988,4-3-1988,95
Moving,Richard Pryor,Andy Breckman,Comedy,USA,Alan Metter,R,6.1,1988,4-3-1988,89
And God Created Woman,Rebecca De Mornay,R.J. Stewart,Comedy,USA,Roger Vadim,R,4.3,1988,4-3-1988,100
Switching Channels,Kathleen Turner,Ben Hecht,Comedy,USA,Ted Kotcheff,PG,5.9,1988,4-3-1988,105
The House on Carroll Street,Kelly McGillis,Walter Bernstein,Thriller,USA,Peter Yates,PG,6.2,1988,4-3-1988,101
Bulletproof,Gary Busey,T.L. Lankford,Action,USA,Steve Carver,R,5,1988,4-3-1988,93
Pass the Ammo,Bill Paxton,Joel Cohen,Comedy,USA,David Beaird,R,6.1,1988,4-3-1988,93
They Live,Roddy Piper,Ray Nelson,Action,USA,John Carpenter,R,7.3,1988,4-11-1988,94
Everybody's All-American,Jessica Lange,Frank Deford,Drama,USA,Taylor Hackford,R,6.2,1988,4-11-1988,127
The Good Mother,Diane Keaton,Michael Bortman,Drama,USA,Leonard Nimoy,R,5.9,1988,4-11-1988,100
Julia and Julia,Kathleen Turner,Peter Del Monte,Drama,Italy,Peter Del Monte,R,5.7,1987,5-2-1988,98
The Unbearable Lightness of Being,Daniel Day-Lewis,Milan Kundera,Drama,USA,Philip Kaufman,R,7.4,1988,5-2-1988,171
The Serpent and the Rainbow,Bill Pullman,Wade Davis,Fantasy,USA,Wes Craven,R,6.5,1988,5-2-1988,98
She's Having a Baby,Kevin Bacon,John Hughes,Comedy,USA,John Hughes,PG-13,5.8,1988,5-2-1988,106
Three for the Road,Charlie Sheen,Richard Martini,Drama,USA,Bill Norton,PG,5.3,1987,5-5-1988,88
The Blob,Shawnee Smith,Theodore Simonson,Horror,USA,Chuck Russell,R,6.4,1988,5-8-1988,95
A Fish Called Wanda,John Cleese,John Cleese,Comedy,UK,Charles Crichton,R,7.6,1988,5-8-1988,108
Vibes,Cyndi Lauper,Deborah Blum,Adventure,USA,Ken Kwapis,PG,5.5,1988,5-8-1988,99
The Rescue,Kevin Dillon,Jim Thomas,Action,USA,Ferdinand Fairfax,PG,5.4,1988,5-8-1988,100
Wings of Desire,Bruno Ganz,Wim Wenders,Drama,West Germany,Wim Wenders,PG-13,8.1,1987,6-5-1988,128
My Best Friend Is a Vampire,Robert Sean Leonard,Tab Murphy,Comedy,USA,Jimmy Huston,PG,6.1,1987,6-5-1988,89
White Mischief,Sarah Miles,James Fox,Crime,UK,Michael Radford,R,6.3,1987,6-5-1988,107
Shakedown,Peter Weller,James Glickenhaus,Action,USA,James Glickenhaus,R,5.9,1988,6-5-1988,93
Judgement in Berlin,Martin Sheen,Herbert J. Stern,Drama,West Germany,Leo Penn,PG,5.9,1988,6-5-1988,96
Jack's Back,James Spader,Rowdy Herrington,Crime,USA,Rowdy Herrington,R,6,1988,6-5-1988,97
Salsa,Draco Rosa,Boaz Davidson,Romance,USA,Boaz Davidson,PG,4.9,1988,6-5-1988,98
License to Drive,Corey Haim,Neil Tolkin,Comedy,USA,Greg Beeman,PG-13,6.3,1988,6-7-1988,88
Short Circuit 2,Fisher Stevens,Brent Maddock,Comedy,USA,Kenneth Johnson,PG,5.6,1988,6-7-1988,110
Nightflyers,Catherine Mary Stewart,George R.R. Martin,Horror,USA,Robert Collector,R,4,1987,7-4-1988,89
The Beast of War,George Dzundza,William Mastrosimone,War,USA,Kevin Reynolds,R,7.4,1988,7-9-1988,111
Gorillas in the Mist,Sigourney Weaver,Harold T.P. Hayes,Biography,USA,Michael Apted,PG-13,7,1988,7-10-1988,129
Alien Nation,James Caan,Rockne S. O'Bannon,Action,USA,Graham Baker,R,6.3,1988,7-10-1988,91
Salaam Bombay!,Shafiq Syed,Hriday Lani,Crime,UK,Mira Nair,NOT RATED,8,1988,7-10-1988,113
Punchline,Sally Field,David Seltzer,Comedy,USA,David Seltzer,R,5.8,1988,7-10-1988,128
Clara's Heart,Whoopi Goldberg,Joseph Olshan,Drama,USA,Robert Mulligan,PG-13,6.3,1988,7-10-1988,100
Memories of Me,Billy Crystal,Eric Roth,Comedy,USA,Henry Winkler,PG-13,5.7,1988,7-10-1988,100
Anguish,Zelda Rubinstein,Bigas Luna,Horror,Spain,Bigas Luna,R,6.7,1987,8-1-1988,86
18 Again!,Charlie Schlatter,Josh Goldstein,Comedy,USA,Paul Flaherty,PG,5.7,1988,8-4-1988,93
Bad Dreams,Jennifer Rubin,Andrew Fleming,Horror,USA,Andrew Fleming,R,5.6,1988,8-4-1988,84
Phantasm II,James Le Gros,Don Coscarelli,Action,USA,Don Coscarelli,R,6.5,1988,8-7-1988,97
Arthur 2: On the Rocks,Dudley Moore,Steve Gordon,Comedy,USA,Bud Yorkin,PG,4.3,1988,8-7-1988,113
Square Dance,Jason Robards,Alan Hines,Drama,USA,Daniel Petrie,PG-13,6.1,1987,9-1-1988,112
"Sister, Sister",Eric Stoltz,Bill Condon,Drama,USA,Bill Condon,R,5.5,1987,9-2-1988,91
Cold Steel,Brad Davis,Lisa M. Hansen,Action,USA,Dorothy Ann Puzo,R,4.5,1987,9-4-1988,91
Running on Empty,River Phoenix,Naomi Foner,Crime,USA,Sidney Lumet,PG-13,7.7,1988,9-9-1988,116
Some Girls,Patrick Dempsey,Rupert Walters,Comedy,UK,Michael Hoffman,R,6,1988,9-9-1988,94
Moon Over Parador,Richard Dreyfuss,Charles G. Booth,Comedy,USA,Paul Mazursky,PG-13,5.9,1988,9-9-1988,103
Child's Play,Catherine Hicks,Don Mancini,Horror,USA,Tom Holland,R,6.6,1988,9-11-1988,87
Twins,Arnold Schwarzenegger,William Davies,Comedy,USA,Ivan Reitman,PG,6,1988,9-12-1988,107
My Stepmother Is an Alien,Dan Aykroyd,Jerico,Comedy,USA,Richard Benjamin,PG-13,5.2,1988,9-12-1988,105
Poltergeist III,Heather O'Rourke,Gary Sherman,Horror,USA,Gary Sherman,PG-13,4.6,1988,10-6-1988,98
The Presidio,Sean Connery,Larry Ferguson,Action,USA,Peter Hyams,R,6,1988,10-6-1988,97
Big Business,Bette Midler,Dori Pierson,Comedy,USA,Jim Abrahams,PG,6.3,1988,10-6-1988,97
Clean and Sober,Michael Keaton,Tod Carroll,Drama,USA,Glenn Gordon Caron,R,6.7,1988,10-8-1988,124
When the Wind Blows,Peggy Ashcroft,Raymond Briggs,Animation,UK,Jimmy T. Murakami,Not specified,7.8,1986,11-3-1988,80
Shy People,Jill Clayburgh,Andrey Konchalovskiy,Drama,USA,Andrey Konchalovskiy,R,6.9,1987,11-3-1988,100
Stand and Deliver,Edward James Olmos,Ramón Menéndez,Drama,USA,Ramón Menéndez,PG,7.3,1988,11-3-1988,103
Vice Versa,Judge Reinhold,F. Anstey,Comedy,USA,Brian Gilbert,PG,5.8,1988,11-3-1988,98
Masquerade,Rob Lowe,Dick Wolf,Drama,USA,Bob Swaim,R,6,1988,11-3-1988,100
Cop,James Woods,James Ellroy,Crime,USA,James B. Harris,R,6.4,1988,11-3-1988,110
Off Limits,Willem Dafoe,Christopher Crowe,Action,USA,Christopher Crowe,R,6.2,1988,11-3-1988,102
Women on the Verge of a Nervous Breakdown,Carmen Maura,Pedro Almodóvar,Comedy,Spain,Pedro Almodóvar,R,7.6,1988,11-11-1988,88
A Cry in the Dark,Meryl Streep,John Bryson,Drama,Australia,Fred Schepisi,PG-13,6.9,1988,11-11-1988,120
Iron Eagle II,Louis Gossett Jr.,Kevin Alyn Elders,Action,Canada,Sidney J. Furie,PG,3.6,1988,11-11-1988,100
Ernest Saves Christmas,Jim Varney,Ed Turner,Comedy,USA,John R. Cherry III,PG,5.6,1988,11-11-1988,95
Au Revoir les Enfants,Gaspard Manesse,Louis Malle,Drama,France,Louis Malle,PG,8,1987,12-2-1988,104
Ironweed,Jack Nicholson,William Kennedy,Drama,USA,Hector Babenco,R,6.8,1987,12-2-1988,143
Action Jackson,Carl Weathers,Robert Reneau,Action,USA,Craig R. Baxley,R,5.2,1988,12-2-1988,96
School Daze,Laurence Fishburne,Spike Lee,Comedy,USA,Spike Lee,R,5.8,1988,12-2-1988,121
Shoot to Kill,Sidney Poitier,Harv Zimmel,Action,USA,Roger Spottiswoode,R,6.8,1988,12-2-1988,110
Satisfaction,Justine Bateman,Charles Purpura,Comedy,USA,Joan Freeman,PG-13,4.8,1988,12-2-1988,92
Tiger Warsaw,Patrick Swayze,Roy London,Drama,USA,Amin Q. Chaudhri,R,4.7,1988,12-5-1988,100
Track 29,Theresa Russell,Dennis Potter,Drama,UK,Nicolas Roeg,R,5.9,1988,12-7-1988,100
Young Guns,Emilio Estevez,John Fusco,Action,USA,Christopher Cain,R,6.8,1988,12-8-1988,107
